Ensembl,En_gene,Name,Entrez,Refseq
124,ENSMUST00000153024,ENSMUSG00000031266,Gla,11605,
125,ENSMUST00000024049,ENSMUSG00000023279,Bmp15,12155,NM_009757
126,ENSMUST00000039286,ENSMUSG00000038160,Atg5,11793,NM_053069
127,ENSMUST00000039286,ENSMUSG00000038160,Atg5,11793,NM_001314013
128,ENSMUST00000217412,ENSMUSG00000038160,Atg5,11793,
129,ENSMUST00000102973,ENSMUSG00000028405,Aco1,11428,NM_007386
130,ENSMUST00000152911,ENSMUSG00000028405,Aco1,11428,
131,ENSMUST00000135787,ENSMUSG00000028405,Aco1,11428,
132,ENSMUST00000142360,ENSMUSG00000028405,Aco1,11428,
133,ENSMUST00000050063,ENSMUSG00000044147,Arf6,11845,NM_007481
134,ENSMUST00000029041,ENSMUSG00000062515,Fabp4,11770,NM_024406
135,ENSMUST00000191757,ENSMUSG00000062515,Fabp4,11770,
136,ENSMUST00000171970,ENSMUSG00000039004,Bmp6,12161,NM_007556
137,ENSMUST00000224452,ENSMUSG00000039004,Bmp6,12161,
138,ENSMUST00000223628,ENSMUSG00000039004,Bmp6,12161,
139,ENSMUST00000098486,ENSMUSG00000099974,Bcl2a1d,12047,NM_007536
140,ENSMUST00000099945,ENSMUSG00000075232,Amd1,11702,NM_009665
141,ENSMUST00000213620,ENSMUSG00000075232,Amd1,11702,
142,ENSMUST00000214698,ENSMUSG00000075232,Amd1,11702,
143,ENSMUST00000216993,ENSMUSG00000075232,Amd1,11702,
144,ENSMUST00000014597,ENSMUSG00000014453,Blk,12143,NM_007549
145,ENSMUST00000224965,ENSMUSG00000014453,Blk,12143,
146,ENSMUST00000079081,ENSMUSG00000024411,Aqp4,11829,NM_009700
147,ENSMUST00000079081,ENSMUSG00000024411,Aqp4,11829,NM_001317729
148,ENSMUST00000025961,ENSMUSG00000024997,Prdx3,11757,NM_007452
149,ENSMUST00000098485,ENSMUSG00000102037,Bcl2a1a,12044,NM_009742
150,ENSMUST00000102840,ENSMUSG00000076441,Ass1,11898,NM_007494
151,ENSMUST00000126474,ENSMUSG00000076441,Ass1,11898,
152,ENSMUST00000192802,ENSMUSG00000076441,Ass1,11898,
153,ENSMUST00000130195,ENSMUSG00000076441,Ass1,11898,
154,ENSMUST00000032125,ENSMUSG00000030046,Bmp10,12154,NM_009756
155,ENSMUST00000225720,ENSMUSG00000037798,Mat1a,11720,NM_133653
156,ENSMUST00000224514,ENSMUSG00000037798,Mat1a,11720,
157,ENSMUST00000047286,ENSMUSG00000037798,Mat1a,11720,
158,ENSMUST00000068569,ENSMUSG00000089929,Bcl2a1b,12045,NM_007534
159,ENSMUST00000107543,ENSMUSG00000074489,Bglap3,12095,NM_001305448
160,ENSMUST00000107543,ENSMUSG00000074489,Bglap3,12095,NM_001305450
161,ENSMUST00000152477,ENSMUSG00000074489,Bglap3,12095,
162,ENSMUST00000140259,ENSMUSG00000074489,Bglap3,12095,
163,ENSMUST00000107542,ENSMUSG00000074489,Bglap3,12095,NM_001305449
164,ENSMUST00000098956,ENSMUSG00000074486,Bglap2,12097,NM_001032298
165,ENSMUST00000021963,ENSMUSG00000021501,Caml,12328,NM_007596
166,ENSMUST00000169228,ENSMUSG00000021501,Caml,12328,
167,ENSMUST00000165154,ENSMUSG00000021501,Caml,12328,
168,ENSMUST00000100720,ENSMUSG00000072625,Gdf2,12165,NM_019506
169,ENSMUST00000076048,ENSMUSG00000074483,Bglap,12096,NM_007541
170,ENSMUST00000128732,ENSMUSG00000074483,Bglap,12096,
171,ENSMUST00000046839,ENSMUSG00000040888,Gfer,11692,NM_023040
172,ENSMUST00000066674,ENSMUSG00000041261,Car8,12319,NM_007592
173,ENSMUST00000046549,ENSMUSG00000040694,Apobec2,11811,NM_009694
174,ENSMUST00000233707,ENSMUSG00000040694,Apobec2,11811,
175,ENSMUST00000101351,ENSMUSG00000073043,Atoh1,11921,NM_007500
176,ENSMUST00000063278,ENSMUSG00000031980,Agt,11606,NM_007428
177,ENSMUST00000067384,ENSMUSG00000054364,Rhob,11852,NM_007483
178,ENSMUST00000023007,ENSMUSG00000022376,Adcy8,11514,NM_009623
179,ENSMUST00000228014,ENSMUSG00000022376,Adcy8,11514,NM_001291903
180,ENSMUST00000228109,ENSMUSG00000022376,Adcy8,11514,
181,ENSMUST00000066460,ENSMUSG00000053820,Bcl2a1c,12046,NM_007535
182,ENSMUST00000022640,ENSMUSG00000022056,Adam7,11500,NM_007402
183,ENSMUST00000128069,ENSMUSG00000022056,Adam7,11500,
184,ENSMUST00000225673,ENSMUSG00000022056,Adam7,11500,
185,ENSMUST00000049545,ENSMUSG00000045318,Adra2c,11553,NM_007418
186,ENSMUST00000026036,ENSMUSG00000025056,Nr0b1,11614,NM_007430
187,ENSMUST00000053640,ENSMUSG00000045730,Adrb2,11555,NM_007420
188,ENSMUST00000030010,ENSMUSG00000015243,Abca1,11303,NM_013454
189,ENSMUST00000149127,ENSMUSG00000015243,Abca1,11303,
190,ENSMUST00000214680,ENSMUSG00000059412,Fxyd2,11936,
191,ENSMUST00000216289,ENSMUSG00000059412,Fxyd2,11936,
192,ENSMUST00000213850,ENSMUSG00000059412,Fxyd2,11936,
193,ENSMUST00000214257,ENSMUSG00000059412,Fxyd2,11936,
194,ENSMUST00000041005,ENSMUSG00000059412,Fxyd2,11936,NM_052823
195,ENSMUST00000041005,ENSMUSG00000059412,Fxyd2,11936,NM_007503
196,ENSMUST00000214466,ENSMUSG00000059412,Fxyd2,11936,
197,ENSMUST00000216840,ENSMUSG00000059412,Fxyd2,11936,
198,ENSMUST00000213158,ENSMUSG00000059412,Fxyd2,11936,
199,ENSMUST00000214017,ENSMUSG00000059412,Fxyd2,11936,
200,ENSMUST00000213282,ENSMUSG00000059412,Fxyd2,11936,
201,ENSMUST00000214654,ENSMUSG00000059412,Fxyd2,11936,
202,ENSMUST00000214245,ENSMUSG00000059412,Fxyd2,11936,
203,ENSMUST00000217549,ENSMUSG00000059412,Fxyd2,11936,
204,ENSMUST00000022921,ENSMUSG00000022309,Angpt1,11600,NM_001286062
205,ENSMUST00000022921,ENSMUSG00000022309,Angpt1,11600,NM_009640
206,ENSMUST00000227738,ENSMUSG00000022309,Angpt1,11600,
207,ENSMUST00000050103,ENSMUSG00000044312,Neurog3,11925,NM_009719
208,ENSMUST00000218121,ENSMUSG00000044312,Neurog3,11925,
209,ENSMUST00000218216,ENSMUSG00000044312,Neurog3,11925,
210,ENSMUST00000032835,ENSMUSG00000030607,Acan,11595,NM_007424
211,ENSMUST00000206779,ENSMUSG00000030607,Acan,11595,
212,ENSMUST00000016105,ENSMUSG00000015961,Adss,11566,NM_007422
213,ENSMUST00000161808,ENSMUSG00000015961,Adss,11566,
214,ENSMUST00000159184,ENSMUSG00000015961,Adss,11566,
215,ENSMUST00000045971,ENSMUSG00000041189,Chrnb1,11443,NM_009601
216,ENSMUST00000154816,ENSMUSG00000041189,Chrnb1,11443,
217,ENSMUST00000129381,ENSMUSG00000041189,Chrnb1,11443,
218,ENSMUST00000147791,ENSMUSG00000041189,Chrnb1,11443,
219,ENSMUST00000004774,ENSMUSG00000004655,Aqp1,11826,NM_007472
220,ENSMUST00000001652,ENSMUSG00000021070,Bdkrb2,12062,NM_009747
221,ENSMUST00000028955,ENSMUSG00000027460,Angpt4,11602,NM_009641
222,ENSMUST00000182899,ENSMUSG00000041347,Bdkrb1,12061,
223,ENSMUST00000183086,ENSMUSG00000041347,Bdkrb1,12061,
224,ENSMUST00000041229,ENSMUSG00000041347,Bdkrb1,12061,NM_007539
225,ENSMUST00000016463,ENSMUSG00000016319,Slc25a5,11740,NM_007451
226,ENSMUST00000126608,ENSMUSG00000016319,Slc25a5,11740,
227,ENSMUST00000156672,ENSMUSG00000016319,Slc25a5,11740,
228,ENSMUST00000033695,ENSMUSG00000031333,Abcb7,11306,NM_009592
229,ENSMUST00000140333,ENSMUSG00000031333,Abcb7,11306,
230,ENSMUST00000003071,ENSMUSG00000074336,Apoc4,11425,NM_007385
231,ENSMUST00000209130,ENSMUSG00000074336,Apoc4,11425,
232,ENSMUST00000033464,ENSMUSG00000031130,Brs3,12209,NM_009766
233,ENSMUST00000033765,ENSMUSG00000031390,Avpr2,12000,NM_019404
234,ENSMUST00000131088,ENSMUSG00000031390,Avpr2,12000,
235,ENSMUST00000101470,ENSMUSG00000031390,Avpr2,12000,NM_001276298
236,ENSMUST00000114395,ENSMUSG00000031390,Avpr2,12000,NM_001276299
237,ENSMUST00000021813,ENSMUSG00000021381,Barx1,12022,NM_007526
238,ENSMUST00000003912,ENSMUSG00000003814,Calr,12317,NM_007591
239,ENSMUST00000154774,ENSMUSG00000003814,Calr,12317,
240,ENSMUST00000128028,ENSMUSG00000003814,Calr,12317,
241,ENSMUST00000125998,ENSMUSG00000003814,Calr,12317,
242,ENSMUST00000005279,ENSMUSG00000005148,Klf5,12224,NM_009769
243,ENSMUST00000226784,ENSMUSG00000005148,Klf5,12224,
244,ENSMUST00000028515,ENSMUSG00000027107,Chrna1,11435,NM_007389
245,ENSMUST00000085319,ENSMUSG00000072972,Adam4,11498,NM_009620
246,ENSMUST00000029587,ENSMUSG00000027967,Neurog2,11924,NM_009718
247,ENSMUST00000205808,ENSMUSG00000060376,Bckdha,12039,
248,ENSMUST00000071329,ENSMUSG00000060376,Bckdha,12039,NM_007533
249,ENSMUST00000034588,ENSMUSG00000032083,Apoa1,11806,NM_009692
250,ENSMUST00000132155,ENSMUSG00000032083,Apoa1,11806,
251,ENSMUST00000001027,ENSMUSG00000063558,Aox1,11761,NM_009676
252,ENSMUST00000160168,ENSMUSG00000063558,Aox1,11761,
253,ENSMUST00000102476,ENSMUSG00000060802,B2m,12010,NM_009735
254,ENSMUST00000021550,ENSMUSG00000021125,Arg2,11847,NM_009705
255,ENSMUST00000071130,ENSMUSG00000060063,Alox5ap,11690,NM_009663
256,ENSMUST00000071130,ENSMUSG00000060063,Alox5ap,11690,NM_001308462
257,ENSMUST00000200806,ENSMUSG00000060063,Alox5ap,11690,
258,ENSMUST00000200928,ENSMUSG00000060063,Alox5ap,11690,
259,ENSMUST00000202629,ENSMUSG00000060063,Alox5ap,11690,
260,ENSMUST00000095080,ENSMUSG00000070980,Actl7b,11471,NM_025271
261,ENSMUST00000095079,ENSMUSG00000070979,Actl7a,11470,NM_009611
262,ENSMUST00000002923,ENSMUSG00000002844,Adprh,11544,NM_007414
263,ENSMUST00000232145,ENSMUSG00000002844,Adprh,11544,
264,ENSMUST00000047321,ENSMUSG00000055116,Arntl,11865,NM_001357070
265,ENSMUST00000047321,ENSMUSG00000055116,Arntl,11865,NM_001368412
266,ENSMUST00000047321,ENSMUSG00000055116,Arntl,11865,NM_007489
267,ENSMUST00000210074,ENSMUSG00000055116,Arntl,11865,NM_001243048
268,ENSMUST00000210238,ENSMUSG00000055116,Arntl,11865,
269,ENSMUST00000211770,ENSMUSG00000055116,Arntl,11865,
270,ENSMUST00000209495,ENSMUSG00000055116,Arntl,11865,
271,ENSMUST00000211547,ENSMUSG00000055116,Arntl,11865,
272,ENSMUST00000015998,ENSMUSG00000015854,Cd5l,11801,NM_009690
273,ENSMUST00000014747,ENSMUSG00000014603,Alx3,11694,NM_007441
274,ENSMUST00000233202,ENSMUSG00000014603,Alx3,11694,
275,ENSMUST00000044767,ENSMUSG00000037984,Neurod6,11922,NM_009717
276,ENSMUST00000090269,ENSMUSG00000068614,Actc1,11464,NM_009608
277,ENSMUST00000149125,ENSMUSG00000068614,Actc1,11464,
278,ENSMUST00000027153,ENSMUSG00000026003,Acadl,11363,NM_007381
279,ENSMUST00000139208,ENSMUSG00000026003,Acadl,11363,
280,ENSMUST00000055327,ENSMUSG00000028435,Aqp3,11828,NM_016689
281,ENSMUST00000154722,ENSMUSG00000028435,Aqp3,11828,
282,ENSMUST00000036700,ENSMUSG00000033717,Adra2a,11551,
283,ENSMUST00000109605,ENSMUSG00000042406,Atf4,11911,NM_009716
284,ENSMUST00000109605,ENSMUSG00000042406,Atf4,11911,NM_001287180
285,ENSMUST00000229828,ENSMUSG00000042406,Atf4,11911,
286,ENSMUST00000230434,ENSMUSG00000042406,Atf4,11911,
287,ENSMUST00000023752,ENSMUSG00000023013,Aqp2,11827,NM_009699
288,ENSMUST00000224807,ENSMUSG00000053279,Aldh1a1,11668,
289,ENSMUST00000224807,ENSMUSG00000053279,Aldh1a1,320092,
290,ENSMUST00000225337,ENSMUSG00000053279,Aldh1a1,11668,NM_001361506
291,ENSMUST00000225337,ENSMUSG00000053279,Aldh1a1,320092,NM_001361506
292,ENSMUST00000224358,ENSMUSG00000053279,Aldh1a1,11668,
293,ENSMUST00000224358,ENSMUSG00000053279,Aldh1a1,320092,
294,ENSMUST00000225313,ENSMUSG00000053279,Aldh1a1,11668,
295,ENSMUST00000225313,ENSMUSG00000053279,Aldh1a1,320092,
296,ENSMUST00000225249,ENSMUSG00000053279,Aldh1a1,11668,
297,ENSMUST00000225249,ENSMUSG00000053279,Aldh1a1,320092,
298,ENSMUST00000087638,ENSMUSG00000053279,Aldh1a1,11668,NM_013467
299,ENSMUST00000087638,ENSMUSG00000053279,Aldh1a1,320092,NM_013467
300,ENSMUST00000099309,ENSMUSG00000074768,Bhmt,12116,NM_016668
301,ENSMUST00000124193,ENSMUSG00000074768,Bhmt,12116,
302,ENSMUST00000230075,ENSMUSG00000043144,Aqp6,11831,
303,ENSMUST00000023754,ENSMUSG00000043144,Aqp6,11831,NM_175087
304,ENSMUST00000105420,ENSMUSG00000020178,Adora2a,11540,NM_009630
305,ENSMUST00000219044,ENSMUSG00000020178,Adora2a,11540,
306,ENSMUST00000219322,ENSMUSG00000020178,Adora2a,11540,
307,ENSMUST00000217703,ENSMUSG00000020178,Adora2a,11540,
308,ENSMUST00000021119,ENSMUSG00000020774,Aspa,11484,NM_023113
309,ENSMUST00000184572,ENSMUSG00000020774,Aspa,11484,
310,ENSMUST00000155630,ENSMUSG00000020774,Aspa,11484,
311,ENSMUST00000132774,ENSMUSG00000020774,Aspa,11484,
312,ENSMUST00000134079,ENSMUSG00000020774,Aspa,11484,
313,ENSMUST00000141898,ENSMUSG00000020774,Aspa,11484,
314,ENSMUST00000023593,ENSMUSG00000022878,Adipoq,11450,NM_009605
315,ENSMUST00000171309,ENSMUSG00000022878,Adipoq,11450,
316,ENSMUST00000200558,ENSMUSG00000027950,Chrnb2,11444,
317,ENSMUST00000199372,ENSMUSG00000027950,Chrnb2,11444,
318,ENSMUST00000029562,ENSMUSG00000027950,Chrnb2,11444,NM_009602
319,ENSMUST00000068316,ENSMUSG00000054988,Agtr1b,11608,NM_175086
320,ENSMUST00000163776,ENSMUSG00000054988,Agtr1b,11608,
321,ENSMUST00000091403,ENSMUSG00000042082,Arsb,11881,NM_009712
322,ENSMUST00000220652,ENSMUSG00000042082,Arsb,11881,
323,ENSMUST00000024829,ENSMUSG00000024030,Abcg1,11307,NM_009593
324,ENSMUST00000139013,ENSMUSG00000024030,Abcg1,11307,
325,ENSMUST00000038769,ENSMUSG00000040808,S100g,12309,NM_009789
326,ENSMUST00000039631,ENSMUSG00000035783,Acta2,11475,NM_007392
327,ENSMUST00000034585,ENSMUSG00000032080,Apoa4,11808,NM_007468
328,ENSMUST00000173669,ENSMUSG00000073418,C4b,12268,
329,ENSMUST00000069507,ENSMUSG00000073418,C4b,12268,NM_009780
330,ENSMUST00000173057,ENSMUSG00000073418,C4b,12268,
331,ENSMUST00000032738,ENSMUSG00000030525,Chrna7,11441,NM_007390
332,ENSMUST00000208304,ENSMUSG00000030525,Chrna7,11441,
333,ENSMUST00000197571,ENSMUSG00000037053,Azgp1,12007,
334,ENSMUST00000035390,ENSMUSG00000037053,Azgp1,12007,NM_013478
335,ENSMUST00000199145,ENSMUSG00000037053,Azgp1,12007,
336,ENSMUST00000019290,ENSMUSG00000019146,Cacng2,12300,NM_007583
337,ENSMUST00000021552,ENSMUSG00000021127,Zfp36l1,12192,NM_007564
338,ENSMUST00000219642,ENSMUSG00000021127,Zfp36l1,12192,
339,ENSMUST00000218835,ENSMUSG00000021127,Zfp36l1,12192,
340,ENSMUST00000165114,ENSMUSG00000021127,Zfp36l1,12192,
341,ENSMUST00000017841,ENSMUSG00000017697,Ada,11486,NM_007398
342,ENSMUST00000017841,ENSMUSG00000017697,Ada,11486,NM_001272052
343,ENSMUST00000156939,ENSMUSG00000017697,Ada,11486,
344,ENSMUST00000231848,ENSMUSG00000022868,Ahsg,11625,
345,ENSMUST00000231328,ENSMUSG00000022868,Ahsg,11625,
346,ENSMUST00000023583,ENSMUSG00000022868,Ahsg,11625,NM_013465
347,ENSMUST00000023583,ENSMUSG00000022868,Ahsg,11625,NM_001276450
348,ENSMUST00000232098,ENSMUSG00000022868,Ahsg,11625,
349,ENSMUST00000231932,ENSMUSG00000022868,Ahsg,11625,
350,ENSMUST00000232556,ENSMUSG00000022868,Ahsg,11625,
351,ENSMUST00000232377,ENSMUSG00000022868,Ahsg,11625,
352,ENSMUST00000232674,ENSMUSG00000022868,Ahsg,11625,
353,ENSMUST00000038341,ENSMUSG00000040084,Bub1b,12236,NM_009773
354,ENSMUST00000127356,ENSMUSG00000040084,Bub1b,12236,
355,ENSMUST00000130512,ENSMUSG00000040084,Bub1b,12236,
356,ENSMUST00000126013,ENSMUSG00000040084,Bub1b,12236,
357,ENSMUST00000204342,ENSMUSG00000041791,Capza3,12344,
358,ENSMUST00000043797,ENSMUSG00000041791,Capza3,12344,NM_007605
359,ENSMUST00000046001,ENSMUSG00000037727,Avp,11998,NM_009732
360,ENSMUST00000034709,ENSMUSG00000032191,Bcl2l10,12049,NM_013479
361,ENSMUST00000020692,ENSMUSG00000020423,Btg2,12227,NM_007570
362,ENSMUST00000038377,ENSMUSG00000036478,Btg1,12226,NM_007569
363,ENSMUST00000218953,ENSMUSG00000036478,Btg1,12226,
364,ENSMUST00000085077,ENSMUSG00000015709,Arnt2,11864,NM_007488
365,ENSMUST00000209133,ENSMUSG00000015709,Arnt2,11864,
366,ENSMUST00000208232,ENSMUSG00000015709,Arnt2,11864,
367,ENSMUST00000208564,ENSMUSG00000015709,Arnt2,11864,
368,ENSMUST00000207459,ENSMUSG00000015709,Arnt2,11864,
369,ENSMUST00000208129,ENSMUSG00000015709,Arnt2,11864,
370,ENSMUST00000208936,ENSMUSG00000015709,Arnt2,11864,
371,ENSMUST00000207759,ENSMUSG00000015709,Arnt2,11864,
372,ENSMUST00000208204,ENSMUSG00000015709,Arnt2,11864,
373,ENSMUST00000208995,ENSMUSG00000015709,Arnt2,11864,
374,ENSMUST00000207769,ENSMUSG00000015709,Arnt2,11864,
375,ENSMUST00000208392,ENSMUSG00000015709,Arnt2,11864,
376,ENSMUST00000208863,ENSMUSG00000015709,Arnt2,11864,
